date,season,team,made_three_point_field_goals,attempted_three_point_field_goals,points,outcome
10/27/09,2009-2010,BOSTON CELTICS,9,19,95,WIN
10/27/09,2009-2010,CLEVELAND CAVALIERS,6,17,89,LOSS
10/27/09,2009-2010,WASHINGTON WIZARDS,4,13,102,WIN
10/27/09,2009-2010,DALLAS MAVERICKS,4,18,91,LOSS
10/27/09,2009-2010,LOS ANGELES CLIPPERS,3,15,92,LOSS
10/27/09,2009-2010,LOS ANGELES LAKERS,4,17,99,WIN
10/27/09,2009-2010,HOUSTON ROCKETS,5,18,87,LOSS
10/27/09,2009-2010,PORTLAND TRAIL BLAZERS,10,21,96,WIN
10/28/09,2009-2010,INDIANA PACERS,10,18,109,LOSS
10/28/09,2009-2010,ATLANTA HAWKS,7,12,120,WIN
10/28/09,2009-2010,CHARLOTTE BOBCATS,0,10,59,LOSS
10/28/09,2009-2010,BOSTON CELTICS,11,29,92,WIN
10/28/09,2009-2010,UTAH JAZZ,6,10,105,LOSS
10/28/09,2009-2010,DENVER NUGGETS,5,13,114,WIN
10/28/09,2009-2010,HOUSTON ROCKETS,12,26,108,WIN
10/28/09,2009-2010,GOLDEN STATE WARRIORS,4,11,107,LOSS
10/28/09,2009-2010,PHOENIX SUNS,7,15,109,WIN
10/28/09,2009-2010,LOS ANGELES CLIPPERS,6,13,107,LOSS
10/28/09,2009-2010,DETROIT PISTONS,6,16,96,WIN
10/28/09,2009-2010,MEMPHIS GRIZZLIES,2,12,74,LOSS
10/28/09,2009-2010,NEW YORK KNICKS,10,39,93,LOSS
10/28/09,2009-2010,MIAMI HEAT,7,15,115,WIN
10/28/09,2009-2010,NEW JERSEY NETS,0,8,93,LOSS
10/28/09,2009-2010,MINNESOTA TIMBERWOLVES,1,7,95,WIN
10/28/09,2009-2010,SACRAMENTO KINGS,3,16,89,LOSS
10/28/09,2009-2010,OKLAHOMA CITY THUNDER,8,14,102,WIN
10/28/09,2009-2010,PHILADELPHIA 76ERS,7,18,106,LOSS
10/28/09,2009-2010,ORLANDO MAGIC,16,29,120,WIN
10/28/09,2009-2010,NEW ORLEANS HORNETS,5,10,96,LOSS
10/28/09,2009-2010,SAN ANTONIO SPURS,9,24,113,WIN
10/28/09,2009-2010,CLEVELAND CAVALIERS,9,22,91,LOSS
10/28/09,2009-2010,TORONTO RAPTORS,5,16,101,WIN
10/29/09,2009-2010,SAN ANTONIO SPURS,4,21,85,LOSS
10/29/09,2009-2010,CHICAGO BULLS,3,16,92,WIN
10/29/09,2009-2010,DENVER NUGGETS,3,11,97,WIN
10/29/09,2009-2010,PORTLAND TRAIL BLAZERS,5,19,94,LOSS
10/30/09,2009-2010,WASHINGTON WIZARDS,5,13,89,LOSS
10/30/09,2009-2010,ATLANTA HAWKS,5,20,100,WIN
10/30/09,2009-2010,CHICAGO BULLS,2,15,90,LOSS
10/30/09,2009-2010,BOSTON CELTICS,12,24,118,WIN
10/30/09,2009-2010,NEW YORK KNICKS,9,36,100,LOSS
10/30/09,2009-2010,CHARLOTTE BOBCATS,3,18,102,WIN
10/30/09,2009-2010,OKLAHOMA CITY THUNDER,2,11,91,WIN
10/30/09,2009-2010,DETROIT PISTONS,5,17,83,LOSS
10/30/09,2009-2010,MIAMI HEAT,1,7,96,WIN
10/30/09,2009-2010,INDIANA PACERS,4,23,83,LOSS
10/30/09,2009-2010,DALLAS MAVERICKS,5,15,94,WIN
10/30/09,2009-2010,LOS ANGELES LAKERS,7,23,80,LOSS
10/30/09,2009-2010,TORONTO RAPTORS,7,22,107,LOSS
10/30/09,2009-2010,MEMPHIS GRIZZLIES,3,9,115,WIN
10/30/09,2009-2010,CLEVELAND CAVALIERS,10,18,104,WIN
10/30/09,2009-2010,MINNESOTA TIMBERWOLVES,3,14,87,LOSS
10/30/09,2009-2010,ORLANDO MAGIC,6,21,95,WIN
10/30/09,2009-2010,NEW JERSEY NETS,5,15,85,LOSS
10/30/09,2009-2010,SACRAMENTO KINGS,7,24,92,LOSS
10/30/09,2009-2010,NEW ORLEANS HORNETS,5,16,97,WIN
10/30/09,2009-2010,MILWAUKEE BUCKS,7,23,86,LOSS
10/30/09,2009-2010,PHILADELPHIA 76ERS,6,18,99,WIN
10/30/09,2009-2010,GOLDEN STATE WARRIORS,6,13,101,LOSS
10/30/09,2009-2010,PHOENIX SUNS,12,22,123,WIN
10/30/09,2009-2010,LOS ANGELES CLIPPERS,6,13,98,LOSS
10/30/09,2009-2010,UTAH JAZZ,2,9,111,WIN
10/31/09,2009-2010,CHARLOTTE BOBCATS,6,13,79,LOSS
10/31/09,2009-2010,CLEVELAND CAVALIERS,9,16,90,WIN
10/31/09,2009-2010,PORTLAND TRAIL BLAZERS,6,18,107,LOSS
10/31/09,2009-2010,HOUSTON ROCKETS,12,24,111,WIN
10/31/09,2009-2010,DALLAS MAVERICKS,3,14,93,WIN
10/31/09,2009-2010,LOS ANGELES CLIPPERS,6,17,84,LOSS
10/31/09,2009-2010,DETROIT PISTONS,4,16,85,LOSS
