wikipedia_name,artist_name,summary,url
William_Dargie,William Dargie,"Captain Sir William Alexander Dargie  (4 June 1912 – 26 July 2003) was a renowned Australian painter, known especially for his portrait paintings. He won the Archibald Prize, Australia's premier award for portrait artists on eight separate occasions; a record held since 1952.
Dargie was an official Australian war artist during World War II and painted multiple portraits of Elizabeth II, Queen of Australia, as well as the official portraits of two Prime Ministers of Australia and two Governors-General of Australia. Dargie painted in a conservative style and is now largely forgotten despite his substantial artistic achievements.",https://en.wikipedia.org/wiki/William_Dargie
William_Dobell,William Dobell,"Sir William Dobell  (24 September 1899 – 13 May 1970) was an Australian portrait and landscape artist of the 20th century. Dobell won the Archibald Prize, Australia's premier award for portrait artists on three occasions. The Dobell Prize is named in his honour.",https://en.wikipedia.org/wiki/William_Dobell
William_Dobson,William Dobson,"William Dobson (4 March 1611 (baptised); 28 October 1646 (buried)) was a portraitist and one of the first significant English painters, praised by his contemporary John Aubrey as ""the most excellent painter that England has yet bred"". He died relatively young and his final years were disrupted by the English Civil War.",https://en.wikipedia.org/wiki/William_Dobson
William_Dring,William Dring,Dennis William Dring  (26 January 1904 – 29 September 1990) was a British portraitist.,https://en.wikipedia.org/wiki/William_Dring
William_Fettes_Douglas,William Fettes Douglas,"Sir William Fettes Douglas  (1822–1891) was a Scottish painter and art connoisseur, rising to be President of the Royal Scottish Academy.",https://en.wikipedia.org/wiki/William_Fettes_Douglas
Yehia_Dessouki,Yehia Dessouki,"Yehia Dessouki (Arabic: يحيى دسوقى; born 13 March 1978) is an Egyptian painter and visual artist making  contemporary art using diverse kinds of media both traditional and digital. He is also an architect, who graduated from the faculty of fine-arts, architecture department, of Helwan University. He has participated in many group exhibitions showing several art works featuring different themes, such as: Architecture of Old Islamic Cairo - Still Life - Lanterns of Ramadan Fawanees -  Circus, and later on he made his first solo exhibition about ""Joy of Roses"" including soft pastel sketches and also oil paintings.

Artist Yehia Dessouki has a distinguished style, remarkable for his use of vivid and rich colorful palettes in most of his art-works.
Being raised among an artistic family was an early dominant influence on his art life. His father is the Batik artist Ali Dessouki and his mother was an art critic and lawyer. More influence came along with his summer study trip to Italy (Società Dante Alighieri), giving him a golden chance to visit art museums in Rome, Milan, Florence and Pisa and most importantly, visiting Venice Biennial of Plastic Arts.
Thanks to his passion for digital graphics, he made some diverse experimental digital art works specially in digital painting showing an innovative art theme which mixes between Marionettes of theater and Arabic calligraphy. One of those digital-paintings was the first digital painting art work ever to be published on the cover of a formal Egyptian newspaper Akhbar Al-Adab, which is a famous weekly Egyptian newspaper read by Egyptian cultural elite.",https://en.wikipedia.org/wiki/Yehia_Dessouki
Zhe_school_(painting),Zhe school (painting),"The Zhe School (浙派) was a school of painters and was part of the Southern School, which thrived during the Ming dynasty. The school was led by Dai Jin, traditionally considered its founder. The ""Zhe"" of the name refers to Dai Jin's home province - Zhejiang. The school was not a school in the proper sense of the word in that the painters did not formulate a new distinctive style, preferring instead to further the style of the Southern Song, specializing in decorative and large paintings. Instead the school was identified by the formal, academic and conservative outlook, being a revival in the early Ming Dynasty of the Ma-Xia (Ma Yuan 馬遠, Xia Gui 夏珪), 'academic', style of painting landscapes of the Southern Song.",https://en.wikipedia.org/wiki/Zhe_school_(painting)
Édouard_Debat-Ponsan,Édouard Debat-Ponsan,"Édouard Debat-Ponsan (25 April 1847 – 29 January 1913) was a French academic painter noted for his allegorical works, scenes of peasant life and Orientalist works.",https://en.wikipedia.org/wiki/%C3%89douard_Debat-Ponsan
Édouard_Detaille,Édouard Detaille,"Jean-Baptiste Édouard Detaille (French: [ʒɑ̃batist‿edwaʁ dətaj]; 5 October 1848 – 23 December 1912) was a French academic painter and military artist noted for his precision and realistic detail. He was regarded as the ""semi-official artist of the French army"".",https://en.wikipedia.org/wiki/%C3%89douard_Detaille
Óscar_Domínguez,Óscar Domínguez,Óscar M. Domínguez (3 January 1906 – 31 December 1957) was a Spanish surrealist painter.,https://en.wikipedia.org/wiki/%C3%93scar_Dom%C3%ADnguez
