wikipedia_name,artist_name,summary,url
Lajos_Vajda,Lajos Vajda,"Lajos Vajda (Hungarian: Vajda Lajos; 1908, Zalaegerszeg – 1941, Budakeszi) was a Hungarian painter and graphic artist. From 1927 to 1930 he was a student of István Csók at the Royal Academy of Fine Arts.
Vajda stayed in Paris between 1930 and 1934 and, in addition to the most recent trends in French painting, he also got acquainted with the outstanding works of the Russian Realist film. This prompted him to create his dramatic photo-montages of the great cataclysms of mankind, war, hunger, armed violence and abject misery. From 1934 onwards, he collected folk art motifs in Szentendre and Szigetmonostor. In his style, folk art and Orthodox Christian, Roman Catholic and Jewish symbols were combined with abstract and surrealistic elements.  His last abstract surrealistic drawings foreshadow the horrors of World War II. He died of tuberculosis in 1941.

""Over a ten-year period, Vajda created an impressive oeuvre, the formal and content-related preoccupations of which were rooted in Constructivism and Surrealism. (...) His independence from the dogmas of these two movements, his great inventiveness and his use of local historical materials helped define the Hungarian avantgarde.""",https://en.wikipedia.org/wiki/Lajos_Vajda
Leo_Valledor,Leo Valledor,"Leo Valledor (1936–1989) was a Filipino-American painter who pioneered the hard-edge painting style. During the 1960s he was a member of the Park Place Gallery in Soho, New York City, which exhibited many influential and significant artists of the period. He was a leader of the minimalist movement in the 1970s.",https://en.wikipedia.org/wiki/Leo_Valledor
Louis_Mathieu_Verdilhan,Louis Mathieu Verdilhan,"Louis Mathieu Verdilhan (24 November 1875 – 15 December 1928) was a French artist known especially for his paintings of the Old Port of Marseille.
He was born in Saint-Gilles-du-Gard. His family moved to the Chartreux district in Marseille in 1877. Born into a poor family, he apprenticed to a house painter in 1890 but began drawing with the support of the Marseille artist Eugène Giraud. In 1895, he established a studio that he kept for his entire life, at No. 12 rue Fort-Notre-Dame. In 1898, he traveled for the first time to Paris and worked with the decorator Adrien Karbowsky to produce part of the ornamentation of the Salon du bois of the decorative arts pavilion for the 1900 World's Fair. He returned to Marseille in 1900. In 1902, he lost his left eye in an accident.
His artistic career began in 1902 with an exhibition at Galeries Braun in Marseille and then, in 1905, an exhibition at the Palace of Architects at the Avenue du Prado. He exhibited in Paris in 1906 at the Salon des Indépendants. His early works were painted in a style reminiscent of Monticelli and van Gogh. From 1907 to 1913 his work was influenced by Fauvism and German Expressionism. From 1908 he participated regularly in the Salon d'Automne. In 1909, he spent six months in Versailles where he made many paintings. He occupied from 1910 to 1914 a workshop at No. 12 quay of Rive Neuve.
Mobilized in Toulon during the First World War, Verdilhan met Albert Marquet and was influenced by his work. He also met André Suarès and Antoine Bourdelle.
After the war, he resided successively in Aix-en-Provence, Cassis and Toulon. On 16 March 1919, he married Hélène Casile, the younger daughter of painter Alfred Casile. He exhibited in New York at the gallery Kraushaar.
The paintings he made between 1920 and 1926 are characterized by light, flat colors and harmonious forms bounded by simplified outlines. In 1925 he painted a mural for the Provence pavilion of l'Exposition universelle. In 1926 he painted a decoration for the Opéra de Marseille: this painting represents the festival of 14 July in Marseille and was much criticized during the inauguration of the opera.
His palette darkened in the works of his final years. He died of laryngeal cancer on 15 December 1928 in Marseilles.
Verdilhan's brother was the painter and sculptor André Alexandre Verdilhan (1881–1963).",https://en.wikipedia.org/wiki/Louis_Mathieu_Verdilhan
Louis_Valtat,Louis Valtat,"Louis Valtat (French: [valta]; 8 August 1869 – 2 January 1952) was a French painter and printmaker associated with the Fauves (""the wild beasts"", so named for their wild use of color), who first exhibited together in 1905 at the Salon d'Automne.
He is noted as a key figure in the stylistic transition in painting from Monet to Matisse.",https://en.wikipedia.org/wiki/Louis_Valtat
Lucas_Vorsterman,Lucas Vorsterman the Elder,"Lucas Vorsterman (1595–1675) was a Baroque engraver. He worked with the artists Peter Paul Rubens and Anthony van Dyck, as well as for patrons such as Thomas Howard, 21st Earl of Arundel and Charles I of England.",https://en.wikipedia.org/wiki/Lucas_Vorsterman_the_Elder
Maksimilijan_Vanka,Maksimilijan Vanka,"Maksimilijan ""Maxo"" Vanka (May 11, 1889 – February 2, 1963) was a Croatian-American artist. He is best known for the series of murals he completed in 1937 and 1941 at St. Nicholas Croatian Church in Millvale, Pennsylvania.",https://en.wikipedia.org/wiki/Maksimilijan_Vanka
Maria_Helena_Vieira_da_Silva,Maria Helena Vieira da Silva,Maria Helena Vieira da Silva (13 June 1908 – 6 March 1992) was a Portuguese abstract painter. She was considered a leading member of the European abstract expressionism movement known as Art Informel. Her works feature complex interiors and city views using lines that explore space and perspective. She also worked in tapestry and stained glass.,https://en.wikipedia.org/wiki/Maria_Helena_Vieira_da_Silva
Marie_Vassilieff,Marie Vassilieff,"Mariya Ivanovna Vassiliéva (Russian: Мария Ивановна Васильева), (1884-1957), better known as Marie Vassilieff, was a Russian-born painter and set designer active in Paris.
She was born on February 12, 1884 in Smolensk, Russia. She attended the Saint Petersburg Academy of Arts. She also studied at the École des Beaux-Arts in Paris, where she was taught by Henri Matisse. 
In 1910 she co-founded the Academie Russe in Paris. Several years later she left that school and founded Academie Vassilieff also in Paris. Academie Vassilieff located in the 15th arrondissement of Paris (Montparnasse), became a popular place, and during World War I Vassilieff turned the property into a canteen (cafeteria) serving inexpensive meals to artist in the neighborhood.
Vassilieff died on May 14, 1957 in Nogent-sur-Marne, France.
Her property. Villa Vassilieff, at 21 Avenue du Maine has served as a gallery, a museum (Musée du Montparnasse), and study center.",https://en.wikipedia.org/wiki/Marie_Vassilieff
Maurice_de_Vlaminck,Maurice de Vlaminck,"Maurice de Vlaminck (4 April 1876 - 11 October 1958) was a French painter. Along with André Derain and Henri Matisse, he is considered one of the principal figures in the Fauve movement, a group of modern artists who from 1904 to 1908 were united in their use of intense colour. Vlaminck was one of the Fauves at the controversial Salon d'Automne exhibition of 1905.",https://en.wikipedia.org/wiki/Maurice_de_Vlaminck
Mikhail_Vrubel,Mikhail Vrubel,"Mikhail Aleksandrovich Vrubel (Russian: Михаил Александрович Врубель; March 17, [O.S. March 5] 1856 – 
April 14, [O.S. April 1] 1910) was a Russian painter, draughtsman, and sculptor. A prolific and innovative master in various media such as painting, drawing, decorative sculpture, and theatrical art, Vrubel is generally characterized as one of the most important artists in Russian symbolist tradition and a pioneering figure of Modernist art.
In a 1990 biography of Vrubel, the Soviet art historian Nina Dmitrieva considered his life and art as a three-act drama with prologue and epilogue, while the transition between acts was rapid and unexpected. The ""Prologue"" refers to his earlier years of studying and choosing a career path. The ""first act"" peaked in the 1880s when Vrubel was studying at the Imperial Academy of Arts and then moved to Kiev to study Byzantine and Christian art. The ""second act"" corresponded to the so-called ""Moscow period"" that started with The Demon Seated of 1890, followed by Vrubel's 1896 marriage to the opera singer Nadezhda Zabela-Vrubel, his longtime sitter, and ended in 1902 with The Demon Downcast and the subsequent hospitalization of the artist. The ""third act"" lasted from 1903 to 1906 when Vrubel was suffering from his mental illness that gradually undermined his physical and intellectual capabilities. For the last four years of his life, already being blind, Vrubel lived only physically.
In 1880–1890, Vrubel's creative aspirations did not find support of the Imperial Academy of Arts and art critics. However, many private collectors and patrons were fascinated with his paintings, including famous maecenas (art patron) Savva Mamontov, as well as painters and critics who coalesced around the journal Mir iskusstva. Eventually, Vrubel's works were exhibited at Mir Iskusstva's own art exhibitions and Sergei Diaghilev retrospectives. At the beginning of the 20th century, Vrubel's art became an organic part of the Russian Art Nouveau. On November 28, 1905, he was awarded the title of Academician of Painting for his ""fame in the artistic field"" – just when Vrubel almost finished his career as an artist.",https://en.wikipedia.org/wiki/Mikhail_Vrubel
Nina_Petrovna_Valetova,Nina Valetova,"Nina Petrovna Valetova (Russian: Нина Петровна Валетова), or Nina Tokhtaman Valetova (Russian: Нина Тохтаман Валетова), born November 19, 1958, is a Russian-American metaphysical realism painter.
Nina Valetova was born in Berdyash, Bashkir Autonomous Soviet Socialist Republic, Russian SFSR, Soviet Union and graduated as a Specialist from the Faculty of Arts and Graphics of Bashkir State Pedagogical Institute in Ufa. She immigrated to the United States in 1993.
Nina Valetova is the developer of Synthesis Art Style in visual art, - painting and drawing, that combines abstract, figurative arts with cubism, suprematism and surrealism.",https://en.wikipedia.org/wiki/Nina_Valetova
Oswaldo_Viteri,Oswaldo Viteri,"Oswaldo Viteri (8 October 1931 – 24 July 2023) was an Ecuadorian neo-figurative artist. Viteri gained recognition for his assemblage work, but has worked in a wide variety of media, including painting, drawing, printmaking, and mosaics.",https://en.wikipedia.org/wiki/Oswaldo_Viteri
