id,wikipedia_name,artist_name,summary,url
1,"Alfred_Richard_Gurrey,_Sr.",Alfred Richard Gurrey Sr.,"Alfred Richard Gurrey Sr.  (1852–1944) was an English-born landscape painter who moved to the United States at age 20.  In 1900, his employer, Fireman's Fund Insurance Company, transferred him from San Francisco to Hawaii.  In Hawaii, he worked as an insurance adjuster and was secretary of the Board of Fire Underwriters of the Territory of Hawaii.  Although without formal art training, he painted Hawaiian landscapes and opened an art and antiques store in Honolulu. Gurrey was a member of the Kilohana Art League.  In 1916, he retired from the Board of Fire Underwriters and moved to Kauai, where he continued to paint.  His son, Alfred Richard Gurrey Jr. (1874–1928) and daughter-in-law, Caroline Haskins Gurrey (1875–1927), were photographers active in Hawaii.
In 1996, Alfred Gurrey’s daughter Florence and her husband Carl Bayer donated 30 of Alfred R. Gurrey Sr.’s paintings to the Kauai Museum in Lihue, Hawaii.  His painting Moonlight on Ocean (Kauai), c. 1918, is in the collection of the Hawaii State Art Museum",https://en.wikipedia.org/wiki/Alfred_Richard_Gurrey_Sr.
2,"Edward_Otho_Cresap_Ord,_II",Edward Otho Cresap Ord II,"Edward Otho Cresap Ord, II (November 9, 1858 – April 4, 1923) was a United States Army Major who served with the 22nd Infantry Regiment during the Indian Wars, the Spanish–American War and the Philippine–American War. He helped direct relief work after the 1906 San Francisco earthquake. He was a military instructor, an expert linguist and spent time in painting and writing poetry. He was also an inventor who patented a new type of gold pan and different types of rifle and handgun sights.",https://en.wikipedia.org/wiki/Edward_Otho_Cresap_Ord_II
3,"George_Barret,_Jr.",George Barret Jr.,"George Barret Jr. (1767–1842), sometimes referred to as George Barret the Younger, was an English landscape painter, and a son of the Irish artist George Barret Sr.",https://en.wikipedia.org/wiki/George_Barret_Jr.
4,"George_Barret,_Sr.",George Barret Sr.,"George Barret Sr.  (c. 1730 – 29 May 1784) was an Irish landscape artist known for his oil paintings and  watercolours. He left Ireland in 1762 to establish himself as an artist in London and quickly gained recognition to become a leading artist of the period.  He exhibited at the Society of Artists of Great Britain and was able to gain patronage from many leading art collectors. Barrett with other leading members left the Society in 1768 to found the Royal Academy, where he continued to exhibit until 1782. 
Barrett appears to have travelled extensively in England including the Lake District and the Isle of Wight, Wales, and Scotland to undertake commissions for his patrons, but he does not appear to have travelled abroad. Oil paintings of Tivoli in Italy have been attributed to him, but it is much more likely that they are the work of his son George Barret Jr. He suffered from asthma and this caused him to move in 1772 to Westbourne Green, at the time a country village to the west of Paddington.
While he earned considerable wealth from his paintings, he has been described as being ""feckless"" with money. He was helped in 1782 by Edmund Burke, with whom he had become friends when Burke attended Trinity College, Dublin. On Burke's recommendation he obtained the appointment of master painter of Chelsea Hospital, a post he held until his death in 1784. At the time of his death his widow and children we left destitute, but the Royal Academy granted her a pension of thirty pounds a year.",https://en.wikipedia.org/wiki/George_Barret_Sr.
5,"Henry_Ives_Cobb,_Jr.",Henry Ives Cobb Jr.,"Henry Ives Cobb Jr. (March 24, 1883 – August 1974) was an American artist and architect who lived and worked in New York, New York. He is known primarily for his paintings of scenes in and around Manhattan, especially Central Park. He was a member of the American Institute of Architects and the Art Students League of New York, as well as the Society of Independent Artists and the Royal Academy.",https://en.wikipedia.org/wiki/Henry_Ives_Cobb_Jr.
6,"John_Byrne_(artist,_died_1847)",John Byrne (English artist),John Byrne (1786–1847) was an English painter and engraver. He came from a family of artists and he lived with his sister Elizabeth Byrne who also exhibited her landscapes.,https://en.wikipedia.org/wiki/John_Byrne_(English_artist)
7,"John_Frederick_Herring,_Jr.",John Frederick Herring Jr.,John Frederick Herring Jr. (1820–1907) was an English painter who is best known for his equine art.,https://en.wikipedia.org/wiki/John_Frederick_Herring_Jr.
8,"John_Frederick_Herring,_Sr.",John Frederick Herring Sr.,"John Frederick Herring Sr. (12 September 1795 – 23 September 1865), also known as John Frederick Herring I, was a painter, sign maker and coachman in Victorian England. He painted the 1848 ""Pharoah's Chariot Horses"" (archaic spelling ""Pharoah""). He amended his signature ""SR"" (senior) in 1836, with the growing fame of his teenage son (1 of 4) John Frederick Herring Jr.",https://en.wikipedia.org/wiki/John_Frederick_Herring_Sr.
9,A._B._Jackson_(painter),A. B. Jackson (painter),"Alexander Brooks Jackson (April 18, 1925 – March 23, 1981) was an American painter.",https://en.wikipedia.org/wiki/A._B._Jackson_(painter)
10,A._J._Casson,A. J. Casson,"Alfred Joseph Casson  (May 17, 1898 – February 20, 1992) was a member of the Canadian group of artists known as the Group of Seven. He joined the group in 1926 at the invitation of Franklin Carmichael, replacing Frank Johnston. Casson is best known for his depictions in his signature limited palette of southern Ontario, and for being the youngest member of the Group of Seven.",https://en.wikipedia.org/wiki/A._J._Casson
